from,to,is_immune
"activated CD4-positive, alpha-beta T cell",cd4 tem,TRUE
"activated CD4-positive, alpha-beta T cell, human",cd4 tem,TRUE
"activated CD8-positive, alpha-beta T cell",cd8 tem,TRUE
"activated CD8-positive, alpha-beta T cell, human",cd8 tem,TRUE
activated type II NK T cell,nkt,TRUE
alpha-beta T cell,t,TRUE
alternatively activated macrophage,macrophage,TRUE
alveolar macrophage,macrophage,TRUE
B cell,b,TRUE
B-1 B cell,b,TRUE
B-1a B cell,b,TRUE
B-1b B cell,b,TRUE
B-2 B cell,b,TRUE
basophil,granulocyte,TRUE
basophil mast progenitor cell,progenitor,TRUE
blood cell,erythrocyte,TRUE
"CD14-low, CD16-positive monocyte",cd16 mono,TRUE
CD14-positive monocyte,cd14 mono,TRUE
"CD14-positive, CD16-negative classical monocyte",cd14 mono,TRUE
"CD14-positive, CD16-positive monocyte",monocytic,TRUE
CD141-positive myeloid dendritic cell,cdc,TRUE
"CD16-negative, CD56-bright natural killer cell, human",nk,TRUE
"CD16-positive, CD56-dim natural killer cell, human",nk,TRUE
CD1c-positive myeloid dendritic cell,cdc,TRUE
"CD34-positive, CD38-negative hematopoietic stem cell",progenitor,TRUE
"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",progenitor,TRUE
CD4-positive helper T cell,t cd4,TRUE
"CD4-positive, alpha-beta cytotoxic T cell",cytotoxic,TRUE
"CD4-positive, alpha-beta memory T cell",cd4 tcm,TRUE
"CD4-positive, alpha-beta T cell",t cd4,TRUE
"CD4-positive, alpha-beta thymocyte",cd4 naive,TRUE
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",treg,TRUE
"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",tgd,TRUE
"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",t cd8,TRUE
"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",t cd8,TRUE
"CD8-positive, alpha-beta cytokine secreting effector T cell",t cd8,TRUE
"CD8-positive, alpha-beta cytotoxic T cell",t cd8,TRUE
"CD8-positive, alpha-beta memory T cell",cd8 tcm,TRUE
"CD8-positive, alpha-beta memory T cell, CD45RO-positive",cd8 tcm,TRUE
"CD8-positive, alpha-beta T cell",t cd8,TRUE
"CD8-positive, alpha-beta thymocyte",cd8 naive,TRUE
"central memory CD4-positive, alpha-beta T cell",cd4 tcm,TRUE
"central memory CD8-positive, alpha-beta T cell",cd8 tcm,TRUE
central nervous system macrophage,macrophage,TRUE
class switched memory B cell,b,TRUE
classical monocyte,monocytic,TRUE
colon macrophage,macrophage,TRUE
common dendritic progenitor,progenitor,TRUE
common lymphoid progenitor,progenitor,TRUE
common myeloid progenitor,progenitor,TRUE
conventional dendritic cell,cdc,TRUE
cord blood hematopoietic stem cell,progenitor,TRUE
cytotoxic T cell,cytotoxic,TRUE
"decidual natural killer cell, human",nk,TRUE
dendritic cell,dc,TRUE
"dendritic cell, human",dc,TRUE
DN1 thymic pro-T cell,t,TRUE
DN3 thymocyte,t,TRUE
DN4 thymocyte,t,TRUE
double negative T regulatory cell,treg,TRUE
double negative thymocyte,t,TRUE
"double-positive, alpha-beta thymocyte",t,TRUE
early lymphoid progenitor,progenitor,TRUE
early pro-B cell,b,TRUE
early promyelocyte,progenitor,TRUE
early T lineage precursor,progenitor,TRUE
"effector CD4-positive, alpha-beta T cell",cd4 tem,TRUE
"effector CD8-positive, alpha-beta T cell",cd8 tem,TRUE
"effector memory CD4-positive, alpha-beta T cell",cd4 tem,TRUE
"effector memory CD8-positive, alpha-beta T cell",cd8 tem,TRUE
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",cd8 tem,TRUE
elicited macrophage,macrophage,TRUE
enucleate erythrocyte,erythrocyte,TRUE
eosinophil,granulocyte,TRUE
erythroblast,erythrocyte,TRUE
erythrocyte,erythrocyte,TRUE
erythroid progenitor cell,progenitor,TRUE
"erythroid progenitor cell, mammalian",progenitor,TRUE
eurydendroid cell,progenitor,TRUE
follicular B cell,b,TRUE
fraction A pre-pro B cell,b,TRUE
gamma-delta T cell,tgd,TRUE
germinal center B cell,b,TRUE
granulocyte,granulocyte,TRUE
granulocyte monocyte progenitor cell,progenitor,TRUE
group 2 innate lymphoid cell,ilc,TRUE
"group 2 innate lymphoid cell, human",ilc,TRUE
group 3 innate lymphoid cell,ilc,TRUE
"group 3 innate lymphoid cell, human",ilc,TRUE
helper T cell,t cd4,TRUE
hematopoietic multipotent progenitor cell,progenitor,TRUE
hematopoietic precursor cell,progenitor,TRUE
hematopoietic stem cell,progenitor,TRUE
Hofbauer cell,macrophage,TRUE
IgA plasma cell,plasma,TRUE
IgA plasmablast,plasma,TRUE
IgG memory B cell,b memory,TRUE
IgG plasma cell,plasma,TRUE
IgG plasmablast,plasma,TRUE
IgG-negative class switched memory B cell,b,TRUE
IgM plasma cell,plasma,TRUE
"ILC1, human",ilc,TRUE
immature alpha-beta T cell,t,TRUE
immature B cell,b,TRUE
immature innate lymphoid cell,ilc,TRUE
immature natural killer cell,nk,TRUE
immature neutrophil,granulocyte,TRUE
immature NK T cell,nkt,TRUE
inflammatory macrophage,macrophage,TRUE
innate lymphoid cell,ilc,TRUE
intermediate monocyte,monocytic,TRUE
kidney interstitial alternatively activated macrophage,macrophage,TRUE
Kupffer cell,macrophage,TRUE
large pre-B-II cell,b,TRUE
late pro-B cell,b,TRUE
late promyelocyte,progenitor,TRUE
liver dendritic cell,dc,TRUE
lung interstitial macrophage,macrophage,TRUE
lung macrophage,macrophage,TRUE
"lung resident memory CD4-positive, alpha-beta T cell",cd4 tcm,TRUE
"lung resident memory CD8-positive, alpha-beta T cell",t cd8,TRUE
lymphocyte of B lineage,b,TRUE
lymphoid lineage restricted progenitor cell,progenitor,TRUE
macrophage,macrophage,TRUE
macrophage dendritic cell progenitor,progenitor,TRUE
mast cell,mast,TRUE
mature alpha-beta T cell,t,TRUE
mature B cell,b,TRUE
mature conventional dendritic cell,cdc,TRUE
mature gamma-delta T cell,tgd,TRUE
mature NK T cell,nkt,TRUE
mature T cell,t,TRUE
memory B cell,b memory,TRUE
memory regulatory T cell,treg,TRUE
memory T cell,t,TRUE
MHC-II-positive classical monocyte,monocytic,TRUE
monocyte,monocytic,TRUE
monocyte-derived dendritic cell,monocytic,TRUE
mucosal invariant T cell,mait,TRUE
myeloid dendritic cell,cdc,TRUE
"myeloid dendritic cell, human",cdc,TRUE
myeloid lineage restricted progenitor cell,progenitor,TRUE
naive B cell,b naive,TRUE
naive regulatory T cell,treg,TRUE
